School Name,School Type,TOTAL_Enrollment,First Language Not English,Students With Disabilities,Percent Students With Disabilities,High Needs,Percent High Needs,Economically Disadvantaged,Percent Economically Disadvantaged,Percent African American,Percent Asian,Percent Hispanic,Percent White,Percent Native American,"Percent Native Hawaiian, Pacific Islander","Percent Multi-Race, Non-Hispanic",Percent Males,Percent Females,Average Class Size,Percent Graduated,Percent Non-Grad Completers,Percent GED,Percent Dropped Out,High School Graduates (#),Attending Coll./Univ. (#),Percent Attending College,Percent Private Two-Year,Percent Private Four-Year,Percent Public Two-Year,Percent Public Four-Year,Percent MA Community College,Percent MA State University,Percent UMass,AP_Test Takers,AP_Tests Taken,AP_One Test,AP_Two Tests,AP_Three Tests,AP_Four Tests,AP_Five or More Tests,AP_Score=1,AP_Score=2,AP_Score=3,AP_Score=4,AP_Score=5,Percent AP_Score 1-2,Percent AP_Score 3-5,SAT_Tests Taken,Average SAT_Reading,Average SAT_Writing,Average SAT_Math
Abington High,Public School,452,24.0,44.0,9.7,130.0,28.8,97.0,21.5,2.2,1.5,9.1,85.8,0.2,0.2,0.9,45.6,54.4,15.8,94.7,0.0,0.9,3.5,124.0,94.0,75.8,1.1,22.3,30.9,45.7,30.9,19.1,9.6,70,123,31.0,27.0,11.0,0.0,1.0,8.0,46.0,40.0,20.0,9.0,43.9,56.1,98.0,520.0,498.0,516.0
Agawam High,Public School,1222,56.0,172.0,14.1,391.0,32.0,277.0,22.7,1.2,2.2,5.8,88.8,0.0,0.1,1.9,52.0,48.0,16.8,94.2,0.0,0.3,3.7,288.0,235.0,81.6,0.0,34.5,34.0,31.5,33.2,15.7,8.5,242,452,124.0,59.0,34.0,22.0,3.0,28.0,124.0,155.0,105.0,40.0,33.6,66.4,234.0,496.0,475.0,514.0
Amesbury High,Public School,594,17.0,101.0,17.0,154.0,25.9,87.0,14.6,1.3,1.2,4.2,90.7,0.0,0.0,2.5,53.5,46.5,16.7,93.9,0.0,0.6,1.2,124.0,90.0,72.6,0.0,24.4,35.6,40.0,35.6,6.7,15.6,104,137,72.0,31.0,1.0,0.0,0.0,4.0,22.0,37.0,43.0,31.0,19.0,81.0,115.0,531.0,518.0,534.0
Andover High,Public School,1806,172.0,290.0,16.1,377.0,20.9,113.0,6.3,1.9,14.5,5.0,76.3,0.1,0.0,2.2,48.9,51.1,14.7,95.7,0.0,0.5,0.5,413.0,369.0,89.3,0.0,56.4,7.6,36.0,7.3,3.5,13.8,458,843,194.0,177.0,63.0,16.0,8.0,51.0,134.0,204.0,233.0,221.0,21.9,78.1,393.0,566.0,562.0,581.0
Arlington High,Public School,1290,160.0,143.0,11.1,267.0,20.7,133.0,10.3,4.1,10.7,5.7,75.6,0.0,0.2,3.7,49.1,50.9,14.3,98.1,0.3,0.0,1.3,306.0,260.0,85.0,0.0,53.5,9.6,36.9,8.5,4.6,19.6,371,763,135.0,120.0,86.0,23.0,7.0,30.0,76.0,196.0,241.0,220.0,13.9,86.1,271.0,581.0,576.0,592.0
Ashland High,Public School,744,84.0,98.0,13.2,170.0,22.8,77.0,10.3,2.0,9.0,9.4,77.2,0.3,0.0,2.2,48.8,51.2,14.6,95.1,1.6,1.6,1.1,162.0,142.0,87.7,0.0,34.5,9.9,55.6,9.9,17.6,17.6,162,312,80.0,36.0,31.0,10.0,5.0,3.0,14.0,62.0,106.0,127.0,5.4,94.6,160.0,549.0,530.0,576.0
Attleboro High,Public School,1671,170.0,238.0,14.2,593.0,35.5,428.0,25.6,5.5,4.1,12.5,73.6,0.3,0.2,3.8,54.2,45.8,18.1,91.0,1.0,0.5,4.1,358.0,266.0,74.3,0.0,35.3,31.6,33.1,29.3,14.7,11.3,309,520,164.0,89.0,48.0,6.0,2.0,70.0,128.0,146.0,117.0,59.0,38.1,61.9,299.0,494.0,490.0,504.0
Auburn Senior High,Public School,795,45.0,76.0,9.6,189.0,23.8,121.0,15.2,2.1,4.3,6.4,84.0,0.4,0.0,2.8,48.1,51.9,17.3,96.9,0.6,0.6,0.6,158.0,125.0,79.1,0.0,33.6,18.4,48.0,17.6,24.8,14.4,250,380,148.0,74.0,28.0,0.0,0.0,79.0,123.0,106.0,47.0,25.0,53.2,46.8,134.0,488.0,477.0,505.0
Avon Middle High School,Public School,319,23.0,52.0,16.3,111.0,34.8,76.0,23.8,37.3,5.6,4.7,48.3,0.6,0.0,3.4,48.3,51.4,13.3,83.3,2.1,0.0,6.3,41.0,36.0,87.8,0.0,19.4,30.6,50.0,30.6,22.2,27.8,21,27,16.0,4.0,1.0,0.0,0.0,3.0,14.0,7.0,3.0,0.0,63.0,37.0,33.0,467.0,451.0,481.0
Barnstable High,Public School,1866,203.0,227.0,12.2,680.0,36.4,475.0,25.5,8.4,2.8,11.5,72.2,0.9,0.4,3.7,48.7,51.3,15.3,84.6,2.3,0.5,7.6,339.0,256.0,75.5,0.0,31.3,34.8,34.0,34.4,10.2,12.5,475,906,253.0,102.0,67.0,28.0,25.0,152.0,212.0,278.0,156.0,108.0,40.2,59.8,261.0,505.0,489.0,513.0
